,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
34,0,1,1,28.0,1,0,82.1708,0
54,0,1,1,65.0,0,1,61.9792,0
56,1,2,0,21.0,0,0,10.5,2
84,1,2,0,17.0,0,0,10.5,2
111,0,3,0,14.5,1,0,14.4542,0
125,1,3,1,12.0,1,0,11.2417,0
127,1,3,1,24.0,0,0,7.1417,2
152,0,3,1,55.5,0,0,8.05,2
182,0,3,1,9.0,4,2,31.3875,2
197,0,3,1,42.0,0,1,8.4042,2
199,0,2,0,24.0,0,0,13.0,2
219,0,2,1,30.0,0,0,10.5,2
227,0,3,1,20.5,0,0,7.25,2
230,1,1,0,35.0,1,0,83.475,2
247,1,2,0,24.0,0,2,14.5,2
249,0,2,1,54.0,1,0,26.0,2
262,0,1,1,52.0,1,1,79.65,2
266,0,3,1,16.0,4,1,39.6875,2
267,1,3,1,25.0,1,0,7.775,2
268,1,1,0,58.0,0,1,153.4625,2
271,1,3,1,25.0,0,0,0.0,2
273,0,1,1,37.0,0,1,29.7,0
282,0,3,1,16.0,0,0,9.5,2
286,1,3,1,30.0,0,0,9.5,2
288,1,2,1,42.0,0,0,13.0,2
297,0,1,0,2.0,1,2,151.55,2
328,1,3,0,31.0,1,1,20.525,2
353,0,3,1,25.0,1,0,17.8,2
361,0,2,1,29.0,1,0,27.7208,0
379,0,3,1,19.0,0,0,7.775,2
392,0,3,1,28.0,2,0,7.925,2
418,0,2,1,30.0,0,0,13.0,2
423,0,3,0,28.0,1,1,14.4,2
438,0,1,1,64.0,1,4,263.0,2
439,0,2,1,31.0,0,0,10.5,2
455,1,3,1,29.0,0,0,7.8958,0
465,0,3,1,38.0,0,0,7.05,2
472,1,2,0,33.0,1,2,27.75,2
473,1,2,0,23.0,0,0,13.7917,0
482,0,3,1,50.0,0,0,8.05,2
483,1,3,0,63.0,0,0,9.5875,2
484,1,1,1,25.0,1,0,91.0792,0
503,0,3,0,37.0,0,0,9.5875,2
504,1,1,0,16.0,0,0,86.5,2
512,1,1,1,36.0,0,0,26.2875,2
532,0,3,1,17.0,1,1,7.2292,0
535,1,2,0,7.0,0,2,26.25,2
536,0,1,1,45.0,0,0,26.55,2
541,0,3,0,9.0,4,2,31.275,2
544,0,1,1,50.0,1,0,106.425,0
549,1,2,1,8.0,1,1,36.75,2
550,1,1,1,17.0,0,2,110.8833,0
562,0,2,1,28.0,0,0,13.5,2
566,0,3,1,19.0,0,0,7.8958,2
569,1,3,1,32.0,0,0,7.8542,2
570,1,2,1,62.0,0,0,10.5,2
575,0,3,1,19.0,0,0,14.5,2
585,1,1,0,18.0,0,2,79.65,2
586,0,2,1,47.0,0,0,15.0,2
591,1,1,0,52.0,1,0,78.2667,0
592,0,3,1,47.0,0,0,7.25,2
595,0,3,1,36.0,1,1,24.15,2
597,0,3,1,49.0,0,0,0.0,2
605,0,3,1,36.0,1,0,15.55,2
610,0,3,0,39.0,1,5,31.275,2
616,0,3,1,34.0,1,1,14.4,2
620,0,3,1,27.0,1,0,14.4542,0
624,0,3,1,21.0,0,0,16.1,2
628,0,3,1,26.0,0,0,7.8958,2
631,0,3,1,51.0,0,0,7.0542,2
635,1,2,0,28.0,0,0,13.0,2
644,1,3,0,0.75,2,1,19.2583,0
649,1,3,0,23.0,0,0,7.55,2
658,0,2,1,23.0,0,0,13.0,2
664,1,3,1,20.0,1,0,7.925,2
671,0,1,1,31.0,1,0,52.0,2
676,0,3,1,24.5,0,0,8.05,2
679,1,1,1,36.0,0,1,512.3292,0
685,0,2,1,25.0,1,2,41.5792,0
688,0,3,1,18.0,0,0,7.7958,2
689,1,1,0,15.0,0,1,211.3375,2
693,0,3,1,25.0,0,0,7.225,0
703,0,3,1,25.0,0,0,7.7417,1
707,1,1,1,42.0,0,0,26.2875,2
713,0,3,1,29.0,0,0,9.4833,2
723,0,2,1,50.0,0,0,13.0,2
748,0,1,1,19.0,1,0,53.1,2
757,0,2,1,18.0,0,0,11.5,2
762,1,3,1,20.0,0,0,7.2292,0
765,1,1,0,51.0,1,0,77.9583,2
769,0,3,1,32.0,0,0,8.3625,2
774,1,2,0,54.0,1,3,23.0,2
777,1,3,0,5.0,0,0,12.475,2
779,1,1,0,43.0,0,1,211.3375,2
786,1,3,0,18.0,0,0,7.4958,2
795,0,2,1,39.0,0,0,13.0,2
799,0,3,0,30.0,1,1,24.15,2
803,1,3,1,0.42,0,1,8.5167,0
804,1,3,1,27.0,0,0,6.975,2
807,0,3,0,18.0,0,0,7.775,2
809,1,1,0,33.0,1,0,53.1,2
810,0,3,1,26.0,0,0,7.8875,2
814,0,3,1,30.5,0,0,8.05,2
816,0,3,0,23.0,0,0,7.925,2
817,0,2,1,31.0,1,1,37.0042,0
820,1,1,0,52.0,1,1,93.5,2
821,1,3,1,27.0,0,0,8.6625,2
823,1,3,0,27.0,0,1,12.475,2
831,1,2,1,0.83,1,1,18.75,2
833,0,3,1,23.0,0,0,7.8542,2
834,0,3,1,18.0,0,0,8.3,2
835,1,1,0,39.0,1,1,83.1583,0
838,1,3,1,32.0,0,0,56.4958,2
841,0,2,1,16.0,0,0,10.5,2
842,1,1,0,30.0,0,0,31.0,0
844,0,3,1,17.0,0,0,8.6625,2
845,0,3,1,42.0,0,0,7.55,2
851,0,3,1,74.0,0,0,7.775,2
856,1,1,0,45.0,1,1,164.8667,2
857,1,1,1,51.0,0,0,26.55,2
866,1,2,0,27.0,1,0,13.8583,0
870,0,3,1,26.0,0,0,7.8958,2
879,1,1,0,56.0,0,1,83.1583,0
31,0,2,1,24.0,2,0,31.5,2
34,0,1,1,30.0,1,0,57.75,0
42,0,3,1,41.0,0,0,7.85,2
56,0,3,1,35.0,0,0,7.8958,2
77,1,1,0,55.0,2,0,25.7,2
125,1,3,0,17.0,0,1,16.1,2
182,1,1,0,18.0,1,0,53.1,2
197,1,3,0,18.0,0,0,7.775,2
201,0,3,1,0.33,0,2,14.4,2
230,0,2,1,14.0,0,0,65.0,2
247,0,2,1,42.0,1,1,32.5,2
260,0,3,1,36.5,1,0,17.4,2
262,1,2,0,29.0,0,2,23.0,2
324,1,1,0,39.0,0,0,211.3375,2
328,0,2,1,29.0,1,0,26.0,2
351,0,2,1,25.0,0,0,10.5,2
353,0,2,1,49.0,1,2,65.0,2
361,1,2,0,24.0,1,1,37.0042,0
379,0,3,1,5.0,4,2,31.3875,2
392,0,3,1,13.0,0,2,20.25,2
