,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
369,0,2,1,29.0,0,0,13.8583,0
66,1,3,0,18.0,0,0,7.8792,1
436,0,3,0,21.0,2,2,34.375,2
45,0,3,1,25.0,0,0,7.925,2
789,0,1,1,46.0,0,0,79.2,0
251,0,3,0,29.0,1,1,10.4625,2
513,1,1,0,54.0,1,0,59.4,0
421,0,3,1,21.0,0,0,7.7333,1
24,0,3,0,8.0,3,1,21.075,2
700,1,1,0,18.0,1,0,227.525,0
618,1,2,0,4.0,2,1,39.0,2
763,1,1,0,36.0,1,2,120.0,2
534,0,3,0,30.0,0,0,8.6625,2
729,0,3,0,25.0,1,0,7.925,2
103,0,3,1,33.0,0,0,8.6542,2
542,0,3,0,11.0,4,2,31.275,2
336,0,1,1,29.0,1,0,66.6,2
434,0,1,1,50.0,1,0,55.9,2
177,0,1,0,50.0,0,0,28.7125,0
318,1,1,0,31.0,0,2,164.8667,2
12,0,3,1,20.0,0,0,8.05,2
652,0,3,1,21.0,0,0,8.4333,2
49,1,3,0,36.0,0,2,15.9,2
195,1,1,0,58.0,0,0,146.5208,0
496,1,1,0,54.0,1,0,78.2667,0
196,0,1,1,6.0,0,2,134.5,0
642,0,3,0,2.0,3,2,27.9,2
312,0,2,0,26.0,1,1,26.0,2
165,1,3,1,9.0,0,2,20.525,2
344,0,2,1,36.0,0,0,13.0,2
24,1,1,0,48.0,1,3,262.375,0
202,0,3,1,34.0,0,0,6.4958,2
382,0,3,1,32.0,0,0,7.925,2
813,0,3,0,6.0,4,2,31.275,2
745,0,1,1,70.0,1,1,71.0,2
186,1,2,0,21.0,0,1,21.0,2
326,1,2,0,12.0,2,1,39.0,2
499,0,3,1,24.0,0,0,7.7958,2
30,0,2,1,50.0,1,0,26.0,2
117,1,3,0,1.0,1,1,16.7,2
400,1,1,0,30.0,0,0,164.8667,2
877,0,3,1,19.0,0,0,7.8958,2
338,1,3,1,45.0,0,0,8.05,2
153,1,3,0,36.0,0,2,12.1833,2
100,1,1,0,43.0,1,0,55.4417,0
737,1,1,1,35.0,0,0,512.3292,0
399,1,2,0,28.0,0,0,12.65,2
281,0,3,1,28.0,0,0,7.8542,2
86,0,3,1,16.0,1,3,34.375,2
59,1,1,0,36.0,0,0,262.375,0
142,1,3,0,24.0,1,0,15.85,2
298,0,1,1,30.0,0,0,45.5,2
627,1,1,0,21.0,0,0,77.9583,2
79,1,3,0,24.0,0,0,7.75,1
386,0,3,1,24.0,0,0,7.775,2
489,1,3,1,9.0,1,1,15.9,2
113,1,3,0,18.5,0,0,7.2833,1
721,0,3,1,17.0,1,0,7.0542,2
684,0,2,1,60.0,1,1,39.0,2
67,0,3,1,19.0,0,0,8.1583,2
720,1,2,0,6.0,0,1,33.0,2
50,0,1,1,24.0,1,0,60.0,2
335,0,1,1,30.0,0,0,26.0,2
716,1,1,0,38.0,0,0,227.525,0
889,1,1,1,26.0,0,0,30.0,0
771,0,3,1,48.0,0,0,7.8542,2
148,0,2,1,36.5,0,2,26.0,2
240,1,1,0,55.0,0,0,27.7208,0
565,0,3,1,24.0,2,0,24.15,2
785,0,3,1,25.0,0,0,7.25,2
74,1,1,0,35.0,0,0,211.5,0
615,1,2,0,24.0,1,2,65.0,2
865,1,2,0,42.0,0,0,13.0,2
427,1,2,0,19.0,0,0,26.0,2
788,1,3,1,1.0,1,2,20.575,2
169,0,3,1,28.0,0,0,56.4958,2
681,1,1,1,27.0,0,0,76.7292,0
285,0,3,1,36.0,0,0,7.25,2
362,1,2,0,31.0,0,0,21.0,2
181,0,1,1,37.0,1,1,83.1583,0
241,1,2,0,45.0,0,2,30.0,2
307,0,3,1,0.83,0,1,9.35,2
393,0,2,1,47.0,0,0,10.5,2
683,0,3,1,14.0,5,2,46.9,2
278,0,3,1,7.0,4,1,29.125,1
200,0,3,1,28.0,0,0,9.5,2
216,1,3,0,27.0,0,0,7.925,2
293,0,1,1,53.0,1,1,81.8583,2
224,1,1,0,53.0,0,0,27.4458,0
187,0,3,1,17.0,2,0,8.05,2
694,0,1,1,60.0,0,0,26.55,2
192,1,3,0,19.0,1,0,7.8542,2
270,0,1,1,46.0,0,0,75.2417,0
102,0,1,1,21.0,0,1,77.2875,2
558,1,1,0,39.0,1,1,79.65,2
70,0,2,1,32.0,0,0,10.5,2
698,0,1,1,49.0,1,1,110.8833,0
528,0,3,1,39.0,0,0,7.925,2
360,0,3,1,40.0,1,4,27.9,2
98,1,2,0,34.0,0,1,23.0,2
231,0,3,1,29.0,0,0,7.775,2
293,0,3,0,24.0,0,0,8.85,2
794,0,3,1,25.0,0,0,7.8958,2
657,0,3,0,32.0,1,1,15.5,1
491,0,3,1,21.0,0,0,7.25,2
375,1,1,0,45.0,0,0,262.375,0
830,1,3,0,15.0,1,0,14.4542,0
443,1,2,0,28.0,0,0,13.0,2
194,1,1,0,44.0,0,0,27.7208,0
35,0,3,1,18.5,0,0,7.2292,0
882,0,3,0,22.0,0,0,10.5167,2
235,0,3,1,20.0,0,0,7.8542,2
272,1,2,0,41.0,0,1,19.5,2
229,0,2,1,36.0,0,0,13.0,2
747,1,2,0,30.0,0,0,13.0,2
735,0,3,1,28.5,0,0,16.1,2
134,0,2,1,25.0,0,0,13.0,2
378,0,1,1,55.0,0,0,50.0,2
160,0,3,1,44.0,0,1,16.1,2
376,1,3,0,22.0,2,0,8.6625,2
861,0,2,1,21.0,1,0,11.5,2
377,0,1,1,27.0,0,2,211.5,0
30,0,1,1,40.0,0,0,27.7208,0
315,1,3,0,26.0,0,0,7.8542,2
246,1,2,0,22.0,0,0,21.0,2
252,0,1,1,62.0,0,0,26.55,2
393,1,1,0,23.0,1,0,113.275,0
576,1,2,0,34.0,0,0,13.0,2
599,1,1,1,49.0,1,0,56.9292,0
590,0,3,1,35.0,0,0,7.125,2
332,0,1,1,38.0,0,1,153.4625,2
32,1,3,0,33.0,1,2,20.575,2
852,0,3,0,9.0,1,1,15.2458,0
27,0,1,1,19.0,3,2,263.0,2
646,0,3,1,19.0,0,0,7.8958,2
114,1,1,0,63.0,1,0,221.7792,2
253,0,3,1,30.0,1,0,16.1,2
287,0,3,1,22.0,0,0,7.8958,2
15,1,2,0,55.0,0,0,16.0,2
162,1,2,0,26.0,0,0,13.5,2
